code,cost,incpc,age,rvisit
2611606,2370.06,550.6882185,29.65076361,0.033871129
3106200,1083.535629,772.8170139,30.18303013,0.265732191
3300209,681.16,366.8914344,29.82031113,1.251760626
3303302,790.9666667,1132.923218,34.06194786,0.451188636
3303500,920.12,334.4507314,28.72796197,0.064511259
3304557,909.2408546,836.7677335,32.87585222,0.125996051
3501905,346.17,624.4104717,31.58268642,0.782287349
3504503,1256.8,516.2897359,30.12197767,0.617916165
3509502,890.1274429,861.5755195,30.73166697,0.396903468
3513009,410.08,606.1550932,27.11590119,0.317163813
3516200,399.987,505.9423173,29.19291824,0.328447749
3518800,636.24,483.3308485,27.07244526,0.044050094
3525003,413.6,410.2562774,25.5554332,1.111712238
3526803,723.6,491.9388992,28.86532778,1.991729
3528502,325.38,599.6008304,28.29112609,0.972865692
3530607,1329.24,542.7029132,28.34681477,0.230974812
3538709,625.7084579,641.2699903,30.43401184,0.891263439
3543402,330.832,759.4006459,30.85645623,0.093585131
3547809,615.7532512,721.6411172,31.41699254,0.212939095
3548500,1251.36,1022.183096,34.97948932,0.113050734
3548906,770.1,641.7677981,31.09356046,0.540696541
3549904,1399.32,660.9176652,28.31233135,0.193493113
3550308,776.807533,856.7711379,30.20835151,0.337066139
3551702,560.8666667,558.712577,28.97209034,0.49916848
3552205,300.3,626.9519674,29.4190278,0.211469338
3552403,1368.84,410.7763487,27.42951043,0.240202137
3554102,729.8,647.5917863,29.60651111,0.479019758
3555406,1560.64,446.6425488,26.74963303,0.706739131
3556206,1327.92,800.554441,30.93218895,1.230074427
3556701,658.68,883.5231401,30.43151699,1.000810865
4103701,601.04,374.3779409,29.08049801,0.542673607
4104204,185.79,376.0315365,27.79611443,0.515792014
4104808,455.95,488.2485683,27.22386234,0.390075476
4106803,641.52,198.5991955,27.78111896,6.284460229
4106902,433.3182698,869.6520355,29.82890781,0.809793035
4115200,620.84,653.6719588,30.53674024,0.165791503
4202008,165,940.4226692,29.98094761,1.386572665
4202404,289.8020212,651.4783607,29.28885587,2.318283199
4202909,113.52,585.6151311,29.82846054,0.61998748
4204202,193.6,481.4149469,27.09636445,0.320854394
4204301,561,535.382323,29.63414187,0.925470253
4204608,291.72,574.0513462,28.31124574,0.342438113
4205407,237.3425788,983.0932196,30.16510104,3.168242923
4207304,205.92,353.462315,30.16518395,1.932498406
4208203,166.76,543.81094,28.56813174,0.741730118
4208906,275.88,584.1916796,28.44108523,0.701626076
4209102,227.836811,574.2778881,28.21447653,1.105183296
4209300,241.56,472.3117739,28.45780841,0.693806154
4212809,276.54,460.7665493,28.94747153,19.08831771
4217501,545.16,426.7935595,29.0397676,4.18528228
4219309,136.62,467.5951048,28.18504952,1.830260678
4301602,731.44,415.4758494,31.33867162,0.894962421
4303103,50.82,445.9399878,29.05451934,0.988174499
4303905,111.2196167,520.2567243,28.87700291,5.430021175
4304408,89.07868264,436.7447166,28.55823106,1.771490119
4304606,122.5117388,497.3319397,29.55269797,3.334475006
4304804,148.8307674,633.8616461,31.50167062,3.786462039
4305108,97.39999632,691.1719553,30.042787,3.458222934
4306106,406.1396395,483.6003389,30.61341442,2.65753246
4306403,98.36448334,480.2019001,28.46680162,8.440375214
4306809,186.78,503.2164568,32.80569562,6.026846037
4307708,111.2557716,512.8844093,29.94757063,3.841183289
4309209,203.28,406.4491411,28.76832308,1.370749156
4309308,148.9223415,406.8869745,28.99854422,1.184062725
4310108,168.08,443.0870286,28.94585977,4.171756393
4310801,196.84,537.0619648,29.5563869,5.072099136
4311106,265.8133333,348.3773184,33.98308376,3.854191611
4311403,339.24,554.4071984,30.43773096,1.620991781
4311809,224.3793803,498.1027537,30.28442517,3.937287238
4312401,50.52,511.8378158,30.75683699,2.041713658
4313060,81.18,328.8953329,26.95429803,5.155226234
4313201,116.7,583.6537482,33.19407445,2.849514229
4313409,98.29427286,551.000986,29.19478582,5.283070671
4313508,88.44,452.2256655,30.15863065,3.090570517
4314100,217.8,570.1992718,29.61600608,0.285715994
4314407,146.03,485.1885062,31.83261743,0.328916511
4314902,145.5320739,993.9294838,32.31032625,4.34498683
4315602,474.6160957,448.9477292,31.31987632,0.674508745
4316808,141.7130785,544.5672422,31.2624262,3.194059059
4316907,330.08,604.7730041,31.12263975,0.426742084
4317509,245.2933333,463.3575731,30.76578661,1.354603765
4318200,88.968,339.7734229,30.83768432,3.938880333
4318705,168.5462808,520.619619,28.89617492,0.844887398
4319000,647.5431865,544.7571886,30.76627269,3.714438848
4320008,87.99016347,381.8234295,28.75111684,1.265886462
4321204,62.18666667,483.8079524,30.24219941,4.412366185
4321451,316.8,453.1660618,31.92612462,4.878135659
4322400,533.36,407.472268,28.28934479,0.379176473
4322608,386.76,366.9240099,31.82832698,1.735833064
4322707,134.2533333,323.1772498,31.31629338,2.7965425
4323002,160.8406733,356.7859403,28.71120033,2.226334997
5208707,1418.775,687.781921,28.28861629,0.174552514
5300108,1956.57987,848.1257088,26.64419775,0.226719386
