rendapc,anosestudo,idade,mfa,lnrendapc,urbana,homem,perpob
192268,13,32,1,12.16664505,1,0,1
199501,11,34,1,12.20357418,1,1,0
84057,0,68,1,11.33925056,1,1,1
336029,3,60,1,12.7249527,1,0,1
284668,11,32,1,12.55907917,1,0,1
307501,11,28,1,12.63623333,1,1,0
1,0,52,0,0,1,1,1
183501,0,44,1,12.11997509,1,0,1
400001,11,29,0,12.89922237,1,0,1
1126001,11,21,0,13.93418312,1,1,0
180001,11,24,0,12.10071754,1,1,0
429168,5,55,0,12.96960354,1,1,1
231251,5,51,0,12.35125923,1,1,1
322223,13,40,0,12.68299866,1,0,1
190001,0,87,0,12.1547842,1,1,0
93358,3,59,1,11.4441967,1,1,1
2628334,3,50,1,14.78186035,1,1,1
288501,11,30,1,12.5724535,1,0,0
464168,11,42,1,13.04800224,1,0,1
575001,11,56,0,13.26212692,1,0,1
446668,11,52,0,13.00957108,1,1,1
218043,13,43,1,12.29244804,1,0,1
180001,11,53,0,12.10071754,1,0,1
340001,5,50,0,12.73670387,1,0,0
422501,0,53,0,12.95394707,1,1,1
2145834,5,69,0,14.57903862,1,0,1
650001,3,63,0,13.38472939,1,0,1
323334,8,43,1,12.68644142,1,0,1
145834,0,85,0,11.89022446,1,0,1
182168,5,67,0,12.11268425,1,1,1
801725,4,80,0,13.59452057,1,0,0
171112,11,34,1,12.05007362,1,1,1
359723,7,52,0,12.79308987,1,1,0
355168,7,60,0,12.78034592,1,0,1
569426,11,34,0,13.25238419,1,1,0
401168,8,69,1,12.90213585,1,1,1
768050,14,66,0,13.55160999,1,1,1
322918,8,63,0,12.68515396,1,1,0
628434,13,43,0,13.35098648,1,0,1
355001,1,84,0,12.77987576,1,1,1
166668,13,33,0,12.02375889,1,1,0
850001,2,23,0,13.6529932,1,1,1
849426,16,57,0,13.65231609,1,1,1
433334,3,79,0,12.97926426,1,1,0
350001,5,50,0,12.76569176,1,1,1
322501,12,38,0,12.68386173,1,1,0
188751,8,34,0,12.14818382,1,1,0
477668,9,47,0,13.0766716,1,0,1
450001,11,63,0,13.01700497,1,1,1
