rural,mulher,anos_est,rndpcap,meanrndpcap,sufrnd
1,0,1,215.824,527.8295918,1
1,0,5,215.97,391.2131579,0
1,1,1,216.0325,482.5134247,0
0,1,11,216.176,752.9721739,0
0,0,0,216.27,833.48,0
0,0,7,216.62,770.84,0
0,0,11,217.265,541.0827778,0
0,0,0,217.31,556.1836364,0
0,0,5,218,267.5275926,0
1,0,5,220.68,444.4342105,0
0,0,0,221.31,402.0349153,0
0,0,11,221.816,497.7760465,1
1,1,9,222.334,478.4286957,0
0,0,11,222.39,267.5275926,0
0,0,0,223.0916667,626.9217949,0
1,0,3,223.1533333,273.712,0
0,0,1,223.2275,600.8578378,0
1,0,10,223.7688889,804.9061429,1
1,0,11,224,798.4366667,0
1,0,3,224.09,419.5996296,0
1,0,4,224.1666667,943.2462,0
1,0,7,224.22,885.1378723,1
1,0,11,224.315,804.9061429,0
0,0,5,224.7875,600.8578378,0
1,0,12,224.86,685.4940323,0
1,0,2,225.2075,277.348,0
0,0,5,225.654,574.0725806,0
0,1,9,226.0966667,416.7542424,0
0,0,6,226.345,758.31625,0
0,1,0,227.2333333,763.9465625,0
0,0,1,228.094,365.8461364,0
1,0,5,228.414,527.8295918,0
0,1,0,230.375,494.5080556,0
0,0,11,230.4725,388.5253623,0
1,0,1,230.695,807.2419149,0
1,0,3,230.745,482.5134247,0
1,0,1,231,717.7116667,0
0,0,5,232.9875,552.4429787,0
0,0,11,233.0275,833.48,0
0,0,9,233.2183333,639.7505263,0
1,0,1,234.06,273.712,0
0,0,7,234.685,1196.6,0
1,1,0,235.434,467.1654386,0
1,0,4,235.8733333,884.7490244,0
0,0,2,236.074,267.5275926,0
1,0,3,236.2425,685.4940323,0
0,0,0,236.275,833.48,0
0,0,11,236.5716667,267.5275926,0
0,0,9,238.33,1207.043256,0
0,0,3,239.07,2239.903704,0
1,1,3,239.26,672.7350877,0
0,0,11,240.5325,452.7571111,1
1,0,6,240.7,411.1992308,0
0,0,10,241.364,556.1836364,1
1,0,1,241.8675,423.0136585,0
0,0,4,242.7116667,651.0332143,0
1,0,7,243,579.2511111,0
1,0,3,243.07,740.7088235,0
1,0,2,243.545,277.348,0
0,0,7,244.4,478.6689474,0
0,1,2,245.18,607.260625,0
1,0,1,245.305,525.4981579,0
1,0,4,245.38875,571.1861194,0
0,1,13,245.8366667,700.0407895,0
1,0,8,245.91,277.348,0
0,1,5,245.93,478.6689474,0
1,0,3,245.9375,277.348,0
1,0,1,246.1166667,419.5996296,0
0,0,13,246.81,423.8047727,0
0,1,5,246.844,561.9761765,0
0,1,5,246.9575,400.705,0
0,0,6,247.17,1884.586364,0
0,0,4,247.7533333,1410.529773,0
1,0,0,247.918,1360.656875,0
1,0,7,248.1025,419.5996296,0
0,0,8,248.47,452.7571111,0
1,0,3,248.9842857,571.1861194,0
1,0,4,249.53,411.1992308,0
0,1,4,249.57875,722.2689362,0
1,0,6,249.686,876.9027907,0
1,0,5,250.31,753.1506383,0
0,0,11,251.3975,2302.050909,0
